ID,BAL_LIMIT,SEX,EDUCATION,MARRIAGE,AGE,BILLED_AMT1,BILLED_AMT2,BILLED_AMT3,BILLED_AMT4,BILLED_AMT5,BILLED_AMT6,PAID_AMT1,PAID_AMT2,PAID_AMT3,PAID_AMT4,PAID_AMT5,PAID_AMT6,PAST_1,PAST_2,PAST_3,PAST_4,PAST_5,PAST_6,PAID_NEXT_MONTH
1,32000,1,2,1,44,32234.4,31184,31921.6,30119.6,30773.2,31581.2,1200,1280,1200,1360,1320,1400,2,0,0,0,0,0,1
2,88000,1,5,1,39,17701.2,786.4,2475.6,740,2775.2,2013.6,786.4,2481.2,740,2775.2,40.4,1172.8,-2,-2,-1,-1,-1,0,1
3,12000,1,2,2,25,7728.4,9594,9328.4,10323.6,9994,280,2128,0,1326.4,0,280,0,0,0,2,2,2,-1,0
4,92000,1,3,2,41,379.2,462.4,691.2,462.4,468.8,158.4,462.4,691.2,0,468.8,0,310.4,-1,-1,-1,2,-1,0,1
5,8000,2,3,1,63,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,0
6,32000,1,2,2,45,28191.6,28760,0,0,0,0,1320,0,0,0,0,156,0,0,0,-2,-2,-2,1
7,28000,2,2,2,41,27042.8,27849.2,28412,12034.8,11896.8,11676.4,1480,1480,520,520,440,480,2,0,0,0,0,0,1
8,20000,2,1,2,26,17551.2,16996,14616,6430.8,4853.6,4955.6,827.2,826,498.4,180,180.4,190,2,0,0,0,0,0,0
9,48000,1,1,2,35,34924,35709.2,36422.8,36792.4,35842,38098,1720,1640,1320,0,2840,0,2,2,2,2,2,2,0
10,20000,2,2,2,37,20208.4,20186.4,19928.4,17578,11867.6,11387.6,659.6,20747.6,753.6,409.2,469.2,477.2,0,0,-1,0,0,0,1
11,116000,1,1,1,39,-6.8,1386,4027.6,1690,-1.6,348.4,1392.8,4077.6,1710.4,0,350,1540.8,-2,-2,-2,-2,-2,-2,1
12,12000,1,2,1,45,8207.2,7960.4,8362,8603.6,10073.2,9696.8,0,536.8,378.4,1680,0,400,1,2,0,0,0,2,1
13,144000,1,2,1,35,118459.2,121699.6,153212,150858,148340,145746,5962.4,38890,0,0,0,0,1,2,2,7,6,5,1
14,40000,2,2,1,33,36476.8,36522,41286.4,35512.8,14058.4,15939.6,1600,6029.6,6478.8,5244.8,17248.8,17200,0,0,0,0,0,-1,1
15,60000,2,2,2,31,7608,3086.8,3943.2,3675.2,3007.2,9429.6,600,2000,800,400,13221.6,281.6,0,0,0,0,0,-1,1
16,40000,2,3,1,46,5089.6,4891.2,5302,5583.6,5968.4,5815.6,0,611.6,493.2,478,0,520,2,2,0,0,0,2,0
17,8000,1,2,1,38,2226.4,2610.8,2509.6,2588,2946.4,3217.6,480,0,120,400,320,0,1,2,2,0,0,0,0
18,128000,2,1,1,36,26033.2,9500,8952.4,5874,3004.4,2688.8,9500,4064.8,5880.8,3004.4,2688.8,4000,-2,-1,0,-1,-1,-1,1
19,156000,2,2,1,51,2953.2,2292.4,1354.4,1253.6,103.6,231.2,426.4,400,25.2,103.6,231.2,456.4,0,0,0,0,-1,-1,1
20,8000,2,2,1,35,6914.8,5545.6,5813.6,3864.8,3236.4,0,628.8,496.8,408,800,0,0,0,0,0,0,0,0,1
21,92000,1,2,2,32,40732.8,36958.4,33718.8,19872.4,18489.6,17920,2000,1600,811.6,800,1000,520,0,0,0,0,0,0,1
22,32000,2,1,1,43,29545.2,29988,30114,29461.6,30256.8,32393.6,1320,1320,1200,1400,3620,0,0,0,0,0,0,0,1
23,200000,1,1,1,39,784.4,475.2,-60,60,2722,0,475.2,0,120,2722,0,0,-1,-1,-1,-1,-1,-1,1
24,48000,2,2,2,42,1672,2040,0,0,0,0,400,0,0,0,0,0,0,0,0,-2,-2,-2,1
25,8000,1,3,2,25,7960.4,7642,228.8,7682.4,7438,7654,0,228.8,8200.8,400,336,282,1,2,-1,-1,0,0,1
26,116000,2,2,2,28,7250,8322.8,39944,40000,1206,9389.2,1200,32000,1200,1206,9389.2,459.2,0,0,0,0,-1,-1,1
27,20000,1,2,1,28,5317.6,5119.6,4924.4,4726.4,5605.6,5402.4,0,0,0,957.6,0,0,1,4,3,2,2,3,0
28,176000,1,1,1,33,8543.6,7562,6616,5298.8,3030.8,660.8,2009.2,1209.6,417.2,1214.8,664,146,-1,0,0,0,0,-1,1
29,48000,1,2,2,34,45790.4,45598,46629.6,46816.4,20392,20514,1640,2400,2000,2000,23558,2000,0,0,0,0,0,-1,1
30,176000,1,1,2,33,15018.8,11739.6,9485.2,10170.8,8474.8,10594.4,8006.4,11899.2,10179.2,4006,5800.4,4600.4,0,0,-1,-1,0,0,1
31,8000,2,1,2,25,2432.4,1363.2,1606.4,1312.8,725.6,892.8,0,400,40,725.6,400,0,1,2,0,0,-1,0,0
32,92000,1,3,1,41,1042.4,1194.4,1043.2,318.8,-1.2,-1.2,1196,408,319.6,0,0,0,-1,-1,0,-1,-1,-2,1
33,60000,1,1,2,30,100.8,2605.6,-12.4,-12.4,-12.4,-12.4,2618.4,0,0,0,0,0,-1,-1,-1,-2,-2,-2,1
34,104000,2,1,1,41,102622.8,75348,74711.2,73652.8,75978.8,35606.4,2690.4,2654.8,3113.6,4000,1400,1373.6,0,0,0,0,0,0,1
35,20000,2,3,1,50,20164.4,19363.6,16899.2,13542,11225.6,11864,2000,800,1000,1000,800,1000,0,0,0,0,0,0,1
36,96000,1,1,2,30,53698,54817.6,55278.8,56393.2,55285.6,56474.8,1986.8,1966.4,1992.8,2006.8,2108.8,2080,0,0,0,0,0,0,1
37,4000,2,1,2,24,2786.8,3679.6,3563.2,3870.4,3872,3337.2,1009.2,0,400,1.6,66.8,1414,0,0,2,0,0,0,0
38,8000,2,1,2,24,5487.2,6013.2,6300.4,6827.2,7156.4,6985.2,620,507.2,634,563.2,0,680,2,0,0,0,0,2,0
39,32000,2,2,1,28,5386,8230.8,4169.6,1959.2,338.8,536.8,8234.8,4303.6,1998,338.8,537.6,1909.6,0,0,-2,-2,-2,-2,1
40,20000,2,2,1,52,20089.6,18871.2,19360,11912.4,12032.8,10643.6,880,1008,400,440,400,400,0,0,0,0,0,0,1
41,164000,2,1,1,39,21730.4,9289.2,10346,8647.6,7734.4,573.2,2000,6005.6,2013.6,4002.4,573.2,148.4,0,0,0,0,0,-1,1
42,28000,2,2,2,36,25965.2,25354.8,23536,22572.4,22743.6,21779.6,1200,0,800,1687.6,680,129.2,2,2,2,0,0,2,1
43,96000,1,2,2,41,71118,66836.4,64676.4,66070.8,52991.2,55591.6,3430.4,3280,3603.6,2000,4200,0,0,0,0,0,0,0,1
44,12000,1,2,1,33,11714,11756,12120,11785.2,11812.4,11960.4,728,692,461.6,413.6,484.8,421.6,0,0,0,0,0,0,1
45,104000,2,1,1,38,35309.2,36763.2,36342.8,-32533.6,57058,59862,2400,2008,32627.6,132715.2,4000.8,2001.2,0,0,0,0,-1,0,1
46,84000,1,3,2,34,81662.8,84426,82417.2,72778,21084.8,1429.6,4023.6,4048,3302.4,2000,1614.4,61561.6,0,0,0,0,0,0,1
47,48000,2,2,2,31,24588,25334,26511.2,27571.2,27185.2,27160,1200,1400,1400,760.8,836.4,1200,0,0,0,0,0,0,1
48,8000,2,2,2,24,7204.4,7755.6,7051.2,6677.6,7616,7452.4,800,597.6,800,2000,800,437.6,0,0,0,0,0,0,1
49,60000,1,5,1,38,88355.6,53446.4,54551.2,55687.6,56868.8,58026,1520,1560,1600,1640,1640,2200,0,0,0,0,0,0,1
50,12000,2,2,1,47,9262,8996,10715.6,10426,10963.2,10732.4,0,2000,0,833.6,0,922,1,2,2,2,2,2,0
51,152000,1,1,2,29,29561.2,26616.4,23466,17534.8,28827.6,24770,1169.6,1022,606,14822.4,965.2,608.8,-1,0,0,0,0,0,1
52,72000,1,2,1,41,72258,73721.2,71692,72705.2,72007.6,68684.4,3200,0,2800,2800,2460,2680,2,2,2,0,0,0,0
53,20000,2,2,2,38,15650,16067.6,16584.4,14760.4,7399.6,7297.6,800,800,836,400,259.2,800,2,0,0,0,0,0,0
54,40000,2,3,1,38,596,0,84,0,36,36,0,84,0,36,0,0,-1,-1,-1,-1,-1,-1,1
55,60000,2,3,2,41,24046,19364.8,14813.2,10012.8,5000,5000,664.8,713.2,512.8,100,5000,5000,0,0,0,0,0,-1,1
56,80000,2,2,1,36,-0.8,303.2,399.2,267.2,3926,14748,304,400,268,3940.8,16025.2,419.6,1,-1,-1,-1,-1,-1,1
57,20000,2,2,1,45,6840.8,7922,8475.2,8220,8483.6,8685.2,1200,800,0,400,400,400,0,0,2,2,0,0,0
58,60000,2,2,1,32,599.6,492.4,0,748.8,0,45.2,492.4,0,748.8,0,45.2,0,0,-1,-1,-1,-1,-1,1
59,72000,2,1,1,37,660.4,0,0,0,0,0,0,0,0,0,0,118,-1,-1,-2,-2,-2,-2,1
